context_length,task,task_type,head_type,num_classes,n_train,n_val,n_test,best_val_loss,n_epochs_run,training_time_min,val_accuracy,val_balanced_accuracy,val_macro_f1,val_recall_class0,val_recall_class1,val_recall_class2,val_recall_class3,val_recall_class4,val_auroc,val_cohen_kappa,test_accuracy,test_balanced_accuracy,test_macro_f1,test_recall_class0,test_recall_class1,test_recall_class2,test_recall_class3,test_recall_class4,test_auroc,test_cohen_kappa
30s,sleep_staging,seq2seq,lstm,5,755288,159700,161809,0.7289840058740706,12,98.01562084356944,0.674902943018159,0.7271754883700086,0.6240866301856196,0.8220689997271757,0.5707822410147991,0.5534560200504076,0.7881420904676718,0.901428090589989,0.921698104532116,0.5706327007779303,0.6831078617382222,0.7393565604561845,0.6118755894804491,0.8250323247995862,0.5924180586527538,0.5733462069705382,0.8201117318435754,0.8858744800144691,0.9275443919333044,0.5796082586308577
10m,sleep_staging,seq2seq,lstm,5,753746,159370,161477,0.6633012403921672,13,148.86104437907537,0.7128192257011985,0.733857763182755,0.6589866212440532,0.7548037280427775,0.6697123519458544,0.6500218269894245,0.6961311811427108,0.8986197277930073,0.9337574723009404,0.6136708690521413,0.7193594134149136,0.7513590854855664,0.6461032860220618,0.7664737774997393,0.6704688946881051,0.6610517280688814,0.7793129200896192,0.8794881070814868,0.938891473002002,0.6202132372228973
40m,sleep_staging,seq2seq,lstm,5,748349,158215,160315,0.6816086527999327,13,272.7868159890175,0.7127516354327972,0.7077757184967901,0.6518985991714397,0.8418134209580531,0.6192411924119241,0.6245650121867031,0.5432098765432098,0.91004909038406,0.9285041949957172,0.6123175869631373,0.7263512459844681,0.7361570244803949,0.6499378871768668,0.8445732067170986,0.6268751053429968,0.6519936674895352,0.6655392709507704,0.8918038719015741,0.9358559709000766,0.6277416156772506
30s,apnea_binary,seq2label,lstm,2,47960,10275,10285,0.6305063332664416,17,21.478183058897653,0.6307542579075426,0.63150077321346,0.6305266958959574,0.5940839694656489,0.6689175769612711,,,,0.6937174511245707,,0.6134175984443364,0.6132526361764523,0.6129668296654875,0.5824046920821114,0.6441005802707931,,,,0.6747379327687557,
30s,apnea_binary,seq2label,lstm,2,10,10,10,1.1499769687652588,11,0.0846231698989868,0.5,0.5,0.3333333333333333,1.0,0.0,,,,0.56,,0.5,0.5,0.3333333333333333,1.0,0.0,,,,0.6000000000000001,
30s,apnea_binary,seq2label,lstm,2,10,10,10,1.2626439332962036,11,0.0825888792673746,0.5,0.5,0.3333333333333333,1.0,0.0,,,,0.52,,0.5,0.5,0.3333333333333333,1.0,0.0,,,,0.48,
10m,apnea_binary,seq2label,lstm,2,47941,10275,10278,0.61376525438615,14,27.03133334716161,0.6485644768856448,0.6468918903552991,0.6452444754224137,0.7307251908396947,0.5630585898709036,,,,0.7117688015949423,,0.6320295777388597,0.6324514095614919,0.6291989917474698,0.7227761485826002,0.5421266705403835,,,,0.6945462194435972,
40m,apnea_binary,seq2label,lstm,2,47918,10275,10275,0.5877821793869464,19,55.923477526505785,0.6722141119221411,0.6713026941182714,0.6710661637757486,0.7169847328244274,0.6256206554121152,,,,0.7444777018883086,,0.6625790754257908,0.662752051649276,0.6621266302186115,0.7022482893450636,0.6232558139534884,,,,0.7335758560852335,
30s,sleepiness_binary,seq2label,lstm,2,46180,9895,9900,0.665451353134803,15,19.216044048468277,0.6633653360282972,0.57092645478427,0.5730002858778109,0.7894886363636363,0.3523642732049036,,,,0.6284211063126891,,0.6557575757575758,0.5645184153528184,0.5662115028008693,0.7816500711237553,0.3473867595818815,,,,0.5978073314466126,
10m,sleepiness_binary,seq2label,lstm,2,46163,9895,9893,0.6616694255812473,14,32.514478675524394,0.6203132895401718,0.5845005025075625,0.5733149972082505,0.6691761363636364,0.4998248686514886,,,,0.6328838709998408,,0.6110381077529566,0.5752317541770956,0.5644673541783478,0.6604042129234273,0.4900592954307639,,,,0.6072582220147777,
40m,sleepiness_binary,seq2label,lstm,2,46142,9895,9890,0.6622851701623687,15,68.04994911750158,0.6510358767054067,0.5844368183808311,0.582708249436678,0.7419034090909091,0.426970227670753,,,,0.6335228019025632,,0.6401415571284126,0.5741856352936876,0.5722957628548881,0.7310649202733486,0.4173063503140265,,,,0.6042964844290217,
30s,cvd_binary,seq2label,lstm,2,40620,8705,8710,0.6670153494061991,17,43.64223221143087,0.6252728317059162,0.6003723075427008,0.5746535569068303,0.6511950655358519,0.5495495495495496,,,,0.6371101363506915,,0.6293915040183697,0.5984284058240621,0.5763471603023842,0.6623356535189482,0.534521158129176,,,,0.641803750536123,
10m,cvd_binary,seq2label,lstm,2,40620,8705,8710,0.6617317479414067,21,18.53269153436025,0.6549109707064905,0.5956757451360382,0.5840478533731073,0.7165767154973015,0.4747747747747747,,,,0.6490522133544493,,0.6688863375430539,0.5981383395601121,0.5912480527865143,0.7441608662026296,0.4521158129175947,,,,0.6465810592241589,
40m,cvd_binary,seq2label,lstm,2,40620,8705,8710,0.6565951285178739,17,39.559752090772,0.6372199885123492,0.6157970229288656,0.5880662338141847,0.6595219737856592,0.5720720720720721,,,,0.6588835288642536,,0.6398392652123995,0.6083738547636149,0.586314498921102,0.6733178654292343,0.5434298440979956,,,,0.6549845062586447,
40m,cvd_binary,seq2label,transformer,2,40620,8705,8710,0.65882727172031,13,101.4718070268631,0.625157955198162,0.6139226350483097,0.581277545056857,0.6368542791056284,0.590990990990991,,,,0.6546924295150973,,0.6309988518943743,0.6098329707505035,0.5830387162057176,0.6535189481825213,0.5661469933184855,,,,0.6546080402096607,
30s,rested_morning,seq2label,lstm,2,13755,2945,2950,0.6883911319620946,14,3.748816366990407,0.5144312393887945,0.5323987030254963,0.508369973906433,0.3644171779141104,0.7003802281368822,,,,0.5574387086239474,,0.5071186440677966,0.5271308425386975,0.5021740785583766,0.3631419939577039,0.6911196911196911,,,,0.5310758319821764,
10m,rested_morning,seq2label,lstm,2,13755,2945,2950,0.6872940203734691,18,5.75491402943929,0.5079796264855687,0.5290687909678322,0.4980603129117961,0.3319018404907976,0.7262357414448669,,,,0.5520049452984674,,0.5057627118644068,0.5308775326902215,0.495735009222172,0.3250755287009063,0.7366795366795367,,,,0.5396572921648449,
40m,rested_morning,seq2label,lstm,2,13755,2945,2950,0.6905834473859273,11,9.499392676353455,0.5117147707979627,0.523258065268609,0.5103932937600929,0.4153374233128834,0.6311787072243346,,,,0.5373999860038723,,0.5077966101694915,0.5207642688005226,0.5068970407836232,0.4145015105740181,0.6270270270270271,,,,0.5192483290368487,
